ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,322331,Antenatal care provider: Doctor,29.4,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1989,DHS,3559,3492,,,
KEN,704341,Antenatal care provider: Doctor,30.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1989,DHS,4237,4201,,,
KEN,296532,Antenatal care provider: Doctor,29.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1989,DHS,2701,2658,,,
KEN,322328,Antenatal care provider: Nurse/midwife,48.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1989,DHS,3559,3492,,,
KEN,704344,Antenatal care provider: Nurse/midwife,47.9,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1989,DHS,4237,4201,,,
KEN,296535,Antenatal care provider: Nurse/midwife,48.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1989,DHS,2701,2658,,,
KEN,322335,Antenatal care provider: Traditional birth attendant,2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1989,DHS,3559,3492,,,
KEN,704348,Antenatal care provider: Traditional birth attendant,2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1989,DHS,4237,4201,,,
KEN,296537,Antenatal care provider: Traditional birth attendant,1.7,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1989,DHS,2701,2658,,,
KEN,322332,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1989,DHS,3559,3492,,,
KEN,704342,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1989,DHS,4237,4201,,,
KEN,296533,Antenatal care provider: Other,0.6,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1989,DHS,2701,2658,,,
KEN,322329,Antenatal care provider: Missing ,0.3,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1989,DHS,3559,3492,,,
KEN,704345,Antenatal care provider: Missing ,0.3,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1989,DHS,4237,4201,,,
KEN,296536,Antenatal care provider: Missing ,0.2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1989,DHS,2701,2658,,,
KEN,322333,No antenatal care,19.1,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1989,DHS,3559,3492,,,
KEN,704343,No antenatal care,19.2,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1989,DHS,4237,4201,,,
KEN,296534,No antenatal care,19.8,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1989,DHS,2701,2658,,,
KEN,322330,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1989,DHS,3559,3492,,,
KEN,704347,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1989,DHS,4237,4201,,,
KEN,296444,Antenatal care: Total,100,1,KE,Kenya,1989,KE1989DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1989,DHS,2701,2658,,,
